     Antarctic_slope            Shelf_press             SO_press_down_mod
   9.5443283117095379e-02   5.8674549166017403e+02   5.8644147887315705e+02
   9.7023674835828008e-02   5.8877161781445204e+02   5.8846655382112033e+02
   9.8604066554560638e-02   5.9079776360125368e+02   5.9049164838187039e+02
   1.0018445827329327e-01   5.9282392901992034e+02   5.9251676255474979e+02
   1.0176484999202590e-01   5.9485011406979356e+02   5.9454189633910096e+02
   1.0334524171075851e-01   5.9687631875021475e+02   5.9656704973426633e+02
   1.0492563342949116e-01   5.9890254306052543e+02   5.9859222273958858e+02
   1.0650602514822377e-01   6.0092878700006668e+02   6.0061741535440990e+02
   1.0808641686695640e-01   6.0295505056818013e+02   6.0264262757807273e+02
   1.0966680858568902e-01   6.0498133376420731e+02   6.0466785940991963e+02
   1.1124720030442165e-01   6.0700763658748895e+02   6.0669311084929268e+02
   1.1282759202315427e-01   6.0903395903736703e+02   6.0871838189553443e+02
   1.1440798374188690e-01   6.1106030111318239e+02   6.1074367254798733e+02
   1.1598837546061952e-01   6.1308666281427656e+02   6.1276898280599346e+02
   1.1756876717935213e-01   6.1511304413999062e+02   6.1479431266889537e+02
   1.1914915889808476e-01   6.1713944508966586e+02   6.1681966213603505e+02
   1.2072955061681739e-01   6.1916586566264368e+02   6.1884503120675492e+02
   1.2230994233555002e-01   6.2119230585826517e+02   6.2087041988039721e+02
   1.2389033405428265e-01   6.2321876567587140e+02   6.2289582815630399e+02
   1.2547072577301527e-01   6.2524524511480354e+02   6.2492125603381794e+02
   1.2705111749174791e-01   6.2727174417440301e+02   6.2694670351228069e+02
   1.2863150921048053e-01   6.2929826285401066e+02   6.2897217059103457e+02
   1.3021190092921314e-01   6.3132480115296789e+02   6.3099765726942189e+02
   1.3179229264794579e-01   6.3335135907061544e+02   6.3302316354678476e+02
   1.3337268436667840e-01   6.3537793660629461e+02   6.3504868942246526e+02
   1.3495307608541102e-01   6.3740453375934624e+02   6.3707423489580526e+02
   1.3653346780414366e-01   6.3943115052911185e+02   6.3909979996614720e+02
   1.3811385952287628e-01   6.4145778691493194e+02   6.4112538463283283e+02
   1.3969425124160889e-01   6.4348444291614783e+02   6.4315098889520448e+02
   1.4127464296034153e-01   6.4551111853210034e+02   6.4517661275260389e+02
   1.4285503467907415e-01   6.4753781376213021e+02   6.4720225620437304e+02
   1.4443542639780679e-01   6.4956452860557908e+02   6.4922791924985427e+02
   1.4601581811653941e-01   6.5159126306178712e+02   6.5125360188838931e+02
   1.4759620983527202e-01   6.5361801713009572e+02   6.5327930411932005e+02
   1.4917660155400467e-01   6.5564479080984563e+02   6.5530502594198845e+02
   1.5075699327273728e-01   6.5767158410037746e+02   6.5733076735573661e+02
   1.5286855559387488e-01   6.5969839700103250e+02   6.5935652835990629e+02
   1.5498011791501248e-01   6.6172522951115150e+02   6.6138230895383924e+02
   1.5709168023615008e-01   6.6375208163007483e+02   6.6340810913687733e+02
   1.5920324255728768e-01   6.6577895335714391e+02   6.6543392890836265e+02
   1.6131480487842528e-01   6.6780584469169935e+02   6.6745976826763683e+02
   1.6342636719956288e-01   6.6983275563308155e+02   6.6948562721404164e+02
   1.6553792952070048e-01   6.7185968618063134e+02   6.7151150574691894e+02
   1.6764949184183808e-01   6.7388663633368981e+02   6.7353740386561060e+02
   1.6976105416297568e-01   6.7591360609159767e+02   6.7556332156945803e+02
   1.7187261648411328e-01   6.7794059545369510e+02   6.7758925885780332e+02
   1.7398417880525088e-01   6.7996760441932304e+02   6.7961521572998788e+02
   1.7609574112638848e-01   6.8199463298782200e+02   6.8164119218535359e+02
   1.7820730344752611e-01   6.8402168115853317e+02   6.8366718822324208e+02
   1.8031886576866368e-01   6.8604874893079659e+02   6.8569320384299488e+02
   1.8243042808980128e-01   6.8807583630395300e+02   6.8771923904395385e+02
   1.8454199041093888e-01   6.9010294327734289e+02   6.8974529382546052e+02
   1.8665355273207648e-01   6.9213006985030711e+02   6.9177136818685631e+02
   1.8876511505321408e-01   6.9415721602218593e+02   6.9379746212748296e+02
   1.9087667737435168e-01   6.9618438179231998e+02   6.9582357564668223e+02
   1.9298823969548928e-01   6.9821156716005009e+02   6.9784970874379519e+02
   1.9509980201662691e-01   7.0023877212471575e+02   6.9987586141816382e+02
   1.9721136433776448e-01   7.0226599668565848e+02   7.0190203366912931e+02
   1.9932292665890211e-01   7.0429324084221821e+02   7.0392822549603318e+02
   2.0143448898003968e-01   7.0632050459373545e+02   7.0595443689821718e+02
   2.0354605130117728e-01   7.0834778793955104e+02   7.0798066787502262e+02
   2.0565761362231488e-01   7.1037509087900446e+02   7.1000691842579079e+02
   2.0776917594345248e-01   7.1240241341143690e+02   7.1203318854986298e+02
   2.0988073826459008e-01   7.1442975553618828e+02   7.1405947824658108e+02
   2.1199230058572768e-01   7.1645711725259901e+02   7.1608578751528614e+02
   2.1410386290686528e-01   7.1848449856000980e+02   7.1811211635531947e+02
   2.1621542522800288e-01   7.2051189945776059e+02   7.2013846476602271e+02
   2.1832698754914048e-01   7.2253931994519166e+02   7.2216483274673692e+02
   2.2043854987027808e-01   7.2456676002164318e+02   7.2419122029680341e+02
   2.2255011219141568e-01   7.2659421968645563e+02   7.2621762741556347e+02
   2.2466167451255328e-01   7.2862169893896942e+02   7.2824405410235875e+02
   2.2677323683369088e-01   7.3064919777852424e+02   7.3027050035653008e+02
   2.2888479915482848e-01   7.3267671620446049e+02   7.3229696617741865e+02
   2.3099636147596608e-01   7.3470425421611867e+02   7.3432345156436588e+02
   2.3310792379710368e-01   7.3673181181283860e+02   7.3634995651671295e+02
   2.3521948611824128e-01   7.3875938899396033e+02   7.3837648103380116e+02
   2.3733104843937886e-01   7.4078698575882436e+02   7.4040302511497146e+02
   2.3944261076051648e-01   7.4281460210677074e+02   7.4242958875956515e+02
   2.4155417308165408e-01   7.4484223803713905e+02   7.4445617196692297e+02
   2.4366573540279168e-01   7.4686989354926993e+02   7.4648277473638677e+02
   2.4577729772392928e-01   7.4889756864250307e+02   7.4850939706729696e+02
   2.4788886004506688e-01   7.5092526331617864e+02   7.5053603895899471e+02
   2.5000042236620446e-01   7.5295297756963680e+02   7.5256270041082132e+02
